time    species    pebble_col_abundance
2000    grainC6H4    0.00000e+00
2000    grainH2C5N    0.00000e+00
2000    grainSiC4    0.00000e+00
2000    grainH3C5N    0.00000e+00
2000    grainC6H6    5.23983e-27
2000    grainC4S    1.06079e-24
2000    grainC7    1.06621e-25
2000    grainC7H    4.40614e-23
2000    grainC7H2    6.64766e-23
2000    grainC7H3    0.00000e+00
2000    grainC7H4    0.00000e+00
2000    grainCH3C6H    2.32641e-25
2000    grainCH3C5N    3.04692e-31
2000    grainC8    2.25029e-22
2000    grainC8H    2.79631e-23
2000    grainC7N    1.42503e-27
2000    grainC8H2    1.56679e-22
2000    grainC8H3    0.00000e+00
2000    grainHC7N    5.73845e-30
2000    grainC8H4    0.00000e+00
2000    grainH2C7N    0.00000e+00
2000    grainH3C7N    0.00000e+00
2000    grainC9    3.67228e-23
2000    grainC9H    2.18818e-22
2000    grainC9H2    7.16919e-23
2000    grainC9H3    0.00000e+00
2000    grainC9H4    0.00000e+00
2000    grainCH3C7N    7.77259e-39
2000    grainC10    1.60410e-24
2000    grainC9N    2.34976e-30
2000    grainHC9N    7.51253e-32
2000    grainH2C9N    0.00000e+00
2000    grainH3C9N    0.00000e+00
3000    grain    1.86042e-13
3000    grainH    2.43690e-07
3000    grainH(-)    3.91437e-13
3000    grainH2    9.16361e-03
3000    grainHe    1.89588e-14
3000    grainC    2.10103e-14
3000    grainCH    1.65481e-14
3000    grainC(-)    8.42268e-19
3000    grainCH2    2.03668e-12
3000    grainCH3    2.43688e-11
3000    grainN    6.15796e-13
3000    grainNH    3.08263e-13
3000    grainCH4    1.69314e-07
3000    grainNH2    2.41077e-12
3000    grainNH3    1.22668e-07
3000    grainO    3.00398e-11
3000    grainOH    4.20918e-11
3000    grainO(-)    1.63201e-20
3000    grainH2O    9.97889e-06
3000    grainOH(-)    1.17313e-14
3000    grainNa    0.00000e+00
3000    grainC2    9.08281e-15
3000    grainMg    0.00000e+00
3000    grainNaH    0.00000e+00
3000    grainC2H    1.26248e-14
3000    grainMgH    0.00000e+00
3000    grainC2H2    1.27814e-14
3000    grainCN    2.05873e-12
3000    grainCN(-)    9.32716e-15
3000    grainMgH2    0.00000e+00
3000    grainC2H3    1.73057e-16
3000    grainHCN    2.95840e-08
3000    grainHNC    1.07915e-11
3000    grainC2H4    5.24534e-15
3000    grainCHNH    0.00000e+00
3000    grainCNH2    0.00000e+00
3000    grainCO    5.07386e-06
3000    grainH2CN    1.03127e-16
3000    grainN2    1.69127e-06
3000    grainSi    2.01218e-29
3000    grainC2H5    8.82914e-20
3000    grainCH2NH    6.48736e-17
3000    grainCH3N    0.00000e+00
3000    grainCHNH2    0.00000e+00
3000    grainHCO    1.27840e-13
3000    grainHOC    0.00000e+00
3000    grainN2H    0.00000e+00
3000    grainSiH    5.05982e-31
3000    grainC2H6    0.00000e+00
3000    grainCH2NH2    0.00000e+00
3000    grainCH3NH    0.00000e+00
3000    grainCHOH    0.00000e+00
3000    grainH2CO    2.12775e-12
3000    grainHOCH    0.00000e+00
3000    grainN2H2    0.00000e+00
3000    grainNO    2.14761e-15
3000    grainSiH2    3.85370e-34
3000    grainCH2OH    0.00000e+00
3000    grainCH3O    0.00000e+00
3000    grainCH5N    0.00000e+00
3000    grainHNO    1.84434e-15
3000    grainHON    0.00000e+00
3000    grainSiH3    3.77426e-37
3000    grainCH3OH    8.44858e-08
3000    grainNH2OH    0.00000e+00
3000    grainO2    1.77708e-13
3000    grainS    3.31628e-14
3000    grainHS    3.92879e-13
3000    grainS(-)    5.70111e-22
3000    grainSiH4    3.43155e-37
3000    grainO2H    3.06242e-18
3000    grainH2O2    3.70269e-30
3000    grainH2S    1.61476e-09
3000    grainCl    0.00000e+00
3000    grainC3    1.01923e-16
3000    grainHCl    0.00000e+00
3000    grainC3H    1.91592e-17
3000    grainC2N    1.33148e-17
3000    grainC3H2    3.19164e-17
3000    grainH2CCC    5.96642e-19
3000    grainC3H3    0.00000e+00
3000    grainHCCN    0.00000e+00
3000    grainC2O    8.51817e-20
3000    grainC3H4    0.00000e+00
3000    grainCH2CN    3.87975e-21
3000    grainCH3CCH    1.95638e-17
3000    grainNaOH    0.00000e+00
3000    grainSiC    9.70437e-31
3000    grainC3H5    0.00000e+00
3000    grainCH3CN    9.37065e-14
3000    grainHC2O    0.00000e+00
3000    grainHCSi    8.36854e-31
3000    grainC3H6    0.00000e+00
3000    grainCH2CO    6.73906e-16
3000    grainNH2CN    1.66129e-13
3000    grainOCN    1.12683e-15
3000    grainSiCH2    1.18517e-37
3000    grainSiN    4.46033e-35
3000    grainC3H7    0.00000e+00
3000    grainHNCO    7.77847e-17
3000    grainHNSi    2.68183e-38
3000    grainSiCH3    8.20579e-41
3000    grainC3H8    0.00000e+00
3000    grainCH3CHO    6.91662e-14
3000    grainCO2    4.22812e-06
3000    grainCS    1.04391e-15
3000    grainN2O    5.21694e-22
3000    grainSiO    7.76168e-35
3000    grainHCS    4.90039e-18
3000    grainNH2CHO    0.00000e+00
3000    grainNHNO    0.00000e+00
3000    grainC2H5OH    2.13394e-20
3000    grainCH3OCH3    2.63184e-12
3000    grainH2CS    6.67969e-16
3000    grainH2SiO    4.63831e-44
3000    grainHCOOH    2.72666e-14
3000    grainNH2NO    0.00000e+00
3000    grainNO2    1.23426e-20
3000    grainNS    2.96596e-18
3000    grainCCl    0.00000e+00
3000    grainC4    1.41625e-18
3000    grainO3    0.00000e+00
3000    grainSO    4.22808e-16
3000    grainC4H    4.55099e-18
3000    grainC3N    1.29773e-18
3000    grainC4H2    0.00000e+00
3000    grainC4H3    7.67377e-18
3000    grainClO    0.00000e+00
3000    grainHC2NC    0.00000e+00
3000    grainHC3N    2.80181e-19
3000    grainHCNC2    0.00000e+00
3000    grainHNC3    1.23072e-21
3000    grainC3O    3.17424e-18
3000    grainC4H4    0.00000e+00
3000    grainCH2CCN    0.00000e+00
3000    grainNCCN    5.96144e-16
3000    grainSiC2    6.74554e-30
3000    grainC4H5    0.00000e+00
3000    grainCH2CHCN    1.68616e-21
3000    grainHC3O    0.00000e+00
3000    grainSiC2H    4.31100e-31
3000    grainC4H6    0.00000e+00
3000    grainH2C3O    0.00000e+00
3000    grainH4C3N    0.00000e+00
3000    grainSiC2H2    3.53483e-31
3000    grainSiNC    3.24137e-44
3000    grainH5C3N    0.00000e+00
3000    grainC2S    5.58635e-20
3000    grainFe    0.00000e+00
3000    grainFeH    0.00000e+00
3000    grainC5    4.02035e-20
3000    grainHCOOCH3    3.03588e-17
3000    grainOCS    9.69875e-19
3000    grainSiO2    7.44195e-44
3000    grainSiS    2.56904e-40
3000    grainC5H    2.25509e-20
3000    grainC4N    4.50323e-20
3000    grainC5H2    4.08956e-20
3000    grainC5H3    0.00000e+00
3000    grainCH3C4H    2.15882e-21
3000    grainS2    2.57420e-19
3000    grainSO2    4.42997e-19
3000    grainCH3C3N    1.21122e-22
3000    grainHS2    1.14793e-16
3000    grainSiC3H    2.20871e-42
3000    grainH2S2    3.29467e-17
3000    grainC3S    2.70815e-22
3000    grainC6    6.70757e-22
3000    grainC6H    3.21464e-22
3000    grainC5N    1.02571e-24
3000    grainC6H2    8.73102e-22
3000    grainC6H3    0.00000e+00
3000    grainHC5N    8.14202e-24
3000    grainC6H4    0.00000e+00
3000    grainH2C5N    0.00000e+00
3000    grainSiC4    0.00000e+00
3000    grainH3C5N    0.00000e+00
3000    grainC6H6    2.73564e-26
3000    grainC4S    6.24779e-24
3000    grainC7    1.46597e-24
3000    grainC7H    1.09630e-22
3000    grainC7H2    1.01535e-22
3000    grainC7H3    0.00000e+00
3000    grainC7H4    0.00000e+00
3000    grainCH3C6H    1.37023e-24
3000    grainCH3C5N    1.65140e-30
3000    grainC8    4.92820e-22
3000    grainC8H    8.94510e-23
3000    grainC7N    8.38933e-27
3000    grainC8H2    4.53085e-22
3000    grainC8H3    0.00000e+00
3000    grainHC7N    3.33020e-29
3000    grainC8H4    0.00000e+00
3000    grainH2C7N    0.00000e+00
3000    grainH3C7N    0.00000e+00
3000    grainC9    1.59336e-22
3000    grainC9H    5.34190e-22
3000    grainC9H2    2.38122e-22
3000    grainC9H3    0.00000e+00
3000    grainC9H4    0.00000e+00
3000    grainCH3C7N    1.24604e-38
3000    grainC10    2.74015e-24
3000    grainC9N    1.21583e-29
3000    grainHC9N    2.20887e-31
3000    grainH2C9N    0.00000e+00
3000    grainH3C9N    0.00000e+00
4000    grain    2.44126e-13
4000    grainH    2.71994e-07
4000    grainH(-)    6.02530e-13
4000    grainH2    1.20202e-02
4000    grainHe    2.48689e-14
4000    grainC    2.49380e-14
4000    grainCH    2.10997e-14
4000    grainC(-)    2.31910e-18
4000    grainCH2    2.39302e-12
4000    grainCH3    2.87869e-11
4000    grainN    7.29094e-13
4000    grainNH    4.07015e-13
4000    grainCH4    2.22382e-07
4000    grainNH2    2.86541e-12
4000    grainNH3    1.61040e-07
4000    grainO    3.53938e-11
4000    grainOH    5.15962e-11
4000    grainO(-)    4.49350e-20
4000    grainH2O    1.30947e-05
4000    grainOH(-)    1.54283e-14
4000    grainNa    0.00000e+00
4000    grainC2    2.49777e-14
4000    grainMg    0.00000e+00
4000    grainNaH    0.00000e+00
4000    grainC2H    3.44903e-14
4000    grainMgH    0.00000e+00
4000    grainC2H2    2.95474e-14
4000    grainCN    2.71136e-12
4000    grainCN(-)    1.22589e-14
4000    grainMgH2    0.00000e+00
4000    grainC2H3    2.90210e-16
4000    grainHCN    3.88196e-08
4000    grainHNC    1.41891e-11
4000    grainC2H4    6.92871e-15
4000    grainCHNH    0.00000e+00
4000    grainCNH2    0.00000e+00
4000    grainCO    6.65783e-06
4000    grainH2CN    1.36511e-16
4000    grainN2    2.21925e-06
4000    grainSi    7.25724e-29
4000    grainC2H5    1.33581e-19
4000    grainCH2NH    8.54679e-17
4000    grainCH3N    0.00000e+00
4000    grainCHNH2    0.00000e+00
4000    grainHCO    1.68296e-13
4000    grainHOC    0.00000e+00
4000    grainN2H    0.00000e+00
4000    grainSiH    2.84143e-30
4000    grainC2H6    0.00000e+00
4000    grainCH2NH2    0.00000e+00
4000    grainCH3NH    0.00000e+00
4000    grainCHOH    0.00000e+00
4000    grainH2CO    2.79857e-12
4000    grainHOCH    0.00000e+00
4000    grainN2H2    0.00000e+00
4000    grainNO    2.91985e-15
4000    grainSiH2    1.78699e-33
4000    grainCH2OH    0.00000e+00
4000    grainCH3O    0.00000e+00
4000    grainCH5N    0.00000e+00
4000    grainHNO    2.43553e-15
4000    grainHON    0.00000e+00
4000    grainSiH3    1.55604e-36
4000    grainCH3OH    1.10861e-07
4000    grainNH2OH    0.00000e+00
4000    grainO2    2.34253e-13
4000    grainS    3.90678e-14
4000    grainHS    5.56020e-13
4000    grainS(-)    1.25111e-21
4000    grainSiH4    1.50021e-36
4000    grainO2H    4.02844e-18
4000    grainH2O2    4.88252e-30
4000    grainH2S    2.11886e-09
4000    grainCl    0.00000e+00
4000    grainC3    2.79644e-16
4000    grainHCl    0.00000e+00
4000    grainC3H    5.06858e-17
4000    grainC2N    1.86867e-17
4000    grainC3H2    8.44681e-17
4000    grainH2CCC    1.42365e-18
4000    grainC3H3    0.00000e+00
4000    grainHCCN    0.00000e+00
4000    grainC2O    1.86464e-19
