time    species    pebble_col_abundance
2000    grainSO2    3.71097e-19
2000    grainCH3C3N    8.94634e-23
2000    grainHS2    9.73257e-17
2000    grainSiC3H    0.00000e+00
2000    grainH2S2    2.79307e-17
2000    grainC3S    3.23187e-25
2000    grainC6    1.35938e-27
2000    grainC6H    3.43875e-27
2000    grainC5N    3.11888e-28
2000    grainC6H2    3.42253e-27
2000    grainC6H3    0.00000e+00
2000    grainHC5N    8.78367e-26
2000    grainC6H4    0.00000e+00
2000    grainH2C5N    0.00000e+00
2000    grainSiC4    0.00000e+00
2000    grainH3C5N    0.00000e+00
2000    grainC6H6    1.06457e-27
2000    grainC4S    3.04729e-29
2000    grainC7    1.60446e-29
2000    grainC7H    8.95929e-31
2000    grainC7H2    3.18438e-31
2000    grainC7H3    0.00000e+00
2000    grainC7H4    0.00000e+00
2000    grainCH3C6H    2.55706e-31
2000    grainCH3C5N    4.34730e-32
2000    grainC8    3.54246e-27
2000    grainC8H    1.86187e-27
2000    grainC7N    7.86085e-33
2000    grainC8H2    4.04027e-30
2000    grainC8H3    0.00000e+00
2000    grainHC7N    3.17031e-32
2000    grainC8H4    0.00000e+00
2000    grainH2C7N    0.00000e+00
2000    grainH3C7N    0.00000e+00
2000    grainC9    7.88267e-27
2000    grainC9H    1.02364e-29
2000    grainC9H2    6.03915e-32
2000    grainC9H3    0.00000e+00
2000    grainC9H4    0.00000e+00
2000    grainCH3C7N    1.01283e-38
2000    grainC10    1.45824e-29
2000    grainC9N    1.18194e-38
2000    grainHC9N    1.05523e-38
2000    grainH2C9N    0.00000e+00
2000    grainH3C9N    0.00000e+00
3000    grain    2.20961e-13
3000    grainH    4.96798e-08
3000    grainH(-)    4.07275e-13
3000    grainH2    1.08810e-02
3000    grainHe    2.25118e-14
3000    grainC    2.88110e-14
3000    grainCH    2.21370e-14
3000    grainC(-)    3.80213e-26
3000    grainCH2    2.91666e-12
3000    grainCH3    3.45880e-11
3000    grainN    8.52438e-13
3000    grainNH    4.04072e-13
3000    grainCH4    2.00920e-07
3000    grainNH2    3.44109e-12
3000    grainNH3    1.45631e-07
3000    grainO    4.25897e-11
3000    grainOH    5.90896e-11
3000    grainO(-)    1.32423e-26
3000    grainH2O    1.18516e-05
3000    grainOH(-)    1.39247e-14
3000    grainNa    0.00000e+00
3000    grainC2    3.13013e-17
3000    grainMg    0.00000e+00
3000    grainNaH    0.00000e+00
3000    grainC2H    2.31511e-16
3000    grainMgH    0.00000e+00
3000    grainC2H2    4.66259e-15
3000    grainCN    2.44037e-12
3000    grainCN(-)    1.10738e-14
3000    grainMgH2    0.00000e+00
3000    grainC2H3    1.54039e-16
3000    grainHCN    3.51372e-08
3000    grainHNC    1.28103e-11
3000    grainC2H4    6.19912e-15
3000    grainCHNH    0.00000e+00
